Experiment,Metric,Compute Time (s),Communication Time (s),Total Time (s),Compute Energy (J),Communication Energy (J),Total Energy (J),Accuracy Loss (%),SRAM Wait Time (s)
2,Performance,0.07947295769980511,0.034059839014202196,0.11353279671400732,1.35598903144,0.33899725786,1.6949862892999998,3.6919234184303242,0.011353279671400733
2,Energy,0.08193503450292401,0.035115014786967436,0.11705004928989146,1.35597231096,0.33899307774,1.6949653886999998,3.7673454879607666,0.011705004928989148
2,Accuracy,0.14812043391812857,0.06348018596491224,0.21160061988304082,1.35615869216,0.33903967304,1.6951983651999998,0.06692678931014082,0.021160061988304085
4,Performance,0.08165986413255365,0.03499708462823728,0.11665694876079094,1.35597301624,0.33899325406,1.6949662703000001,3.7452332803792747,0.011665694876079095
4,Energy,0.10338646959064322,0.04430848696741852,0.14769495655806175,1.3559586330400002,0.33898965826000005,1.6949482913000002,3.713206832483534,0.014769495655806176
4,Accuracy,0.09190705419103316,0.039388737510442785,0.13129579170147596,1.35603014784,0.33900753696,1.6950376848,0.33672441344706294,0.013129579170147596
5,Performance,0.08275737699805072,0.03546744728487888,0.1182248242829296,1.35600932808,0.33900233202,1.6950116601,3.2436753098045448,0.01182248242829296
5,Energy,0.10655013547758276,0.0456643437761069,0.15221447925368967,1.35598554152,0.33899638538,1.6949819269,3.2261699212096793,0.015221447925368968
5,Accuracy,0.10172093957115005,0.04359468838763574,0.1453156279587858,1.35608355192,0.33902088798,1.6951044399,0.11913399837011339,0.014531562795878581
6,Performance,0.07934857387914236,0.034006531662489584,0.11335510554163195,1.3559742993600001,0.33899357484000003,1.6949678742,3.731959706545357,0.011335510554163195
6,Energy,0.08336147894736848,0.035726348120300774,0.11908782706766925,1.3559624613599999,0.33899061533999997,1.6949530766999998,3.7453864166307964,0.011908782706766926
6,Accuracy,0.11356907816764128,0.048672462071846265,0.16224154023948756,1.35607326472,0.33901831618,1.6950915808999998,0.12003113116053783,0.016224154023948757
8,Performance,0.0811787391812866,0.034790888220551396,0.115969627401838,1.3559883869599998,0.33899709673999995,1.6949854836999996,3.723484294669681,0.0115969627401838
8,Energy,0.10752612729044829,0.046082625981620697,0.153608753272069,1.3559761128799999,0.33899402821999997,1.6949701410999998,3.6853817590714892,0.0153608753272069
8,Accuracy,0.12866416218323581,0.05514178379281535,0.18380594597605115,1.35611248136,0.33902812034,1.6951406017,0.06700694107402708,0.018380594597605115
10,Performance,0.0792608346978558,0.03396892915622392,0.11322976385407972,1.3559830273600002,0.33899575684000005,1.6949787842000001,3.6706294394280663,0.011322976385407973
10,Energy,0.08294664619883046,0.03554856265664163,0.1184952088554721,1.3559610976,0.3389902744,1.694951372,3.6929522695236265,0.01184952088554721
10,Accuracy,0.11592443274853798,0.04968189974937342,0.1656063324979114,1.35605667192,0.33901416798,1.6950708398999998,0.1264848342427287,0.01656063324979114
11,Performance,0.08139089746588697,0.034881813199665844,0.11627271066555282,1.3559807819199998,0.33899519547999996,1.6949759773999997,3.696957003810695,0.011627271066555284
11,Energy,0.09030745360623782,0.038703194402673356,0.12901064800891118,1.3559672003999999,0.33899180009999996,1.6949590004999997,3.693203251467147,0.01290106480089112
11,Accuracy,0.15980742300194925,0.06848889557226397,0.22829631857421323,1.3560976296000002,0.33902440740000006,1.6951220370000002,0.06681517633537888,0.022829631857421324
12,Performance,0.08106785360623785,0.034743365831244793,0.11581121943748265,1.35598739968,0.33899684992,1.6949842495999998,3.667924140941686,0.011581121943748267
12,Energy,0.1092830489278752,0.0468355923976608,0.15611864132553602,1.35596687464,0.33899171866,1.6949585933,3.7171061678156168,0.015611864132553603
12,Accuracy,0.09476654522417154,0.04061423366750209,0.13538077889167363,1.3560642245599999,0.33901605613999997,1.6950802806999996,0.22377569259253066,0.013538077889167364
14,Performance,0.08071477387914233,0.03459204594820386,0.1153068198273462,1.35598502144,0.33899625536,1.6949812767999999,3.728419505397984,0.01153068198273462
14,Energy,0.08655836608187138,0.03709644260651631,0.1236548086883877,1.3559705973599998,0.33899264933999995,1.6949632466999998,3.7275126789895237,0.01236548086883877
14,Accuracy,0.1268116789473684,0.054347862406015024,0.1811595413533834,1.3560584630399999,0.33901461575999997,1.6950730787999997,0.12040349321349217,0.01811595413533834
16,Performance,0.07935073840155948,0.03400745931495407,0.11335819771651356,1.35598064248,0.33899516062,1.6949758031,3.7061584373852106,0.011335819771651358
16,Energy,0.09379944912280705,0.04019976390977445,0.1339992130325815,1.355966796,0.338991699,1.6949584949999998,3.708479989424574,0.01339992130325815
16,Accuracy,0.1134644376218323,0.048627616123642414,0.16209205374547472,1.356088608,0.339022152,1.69511076,0.11173175950958435,0.016209205374547474
17,Performance,0.07938885964912284,0.034023796992481224,0.11341265664160408,1.35598018144,0.33899504536,1.6949752268,3.7818902137466663,0.011341265664160409
