Experiment,Metric,Compute Time (s),Communication Time (s),Total Time (s),Compute Energy (J),Communication Energy (J),Total Energy (J),Accuracy Loss (%),SRAM Wait Time (s)
2,Performance,0.08265401812865501,0.03542315062656643,0.11807716875522145,1.35598180624,0.33899545156,1.6949772577999997,3.7775425040777857,0.011807716875522145
2,Energy,0.08810914054580898,0.03776106023391814,0.12587020077972713,1.35596744416,0.33899186104,1.6949593051999998,3.7775425040777857,0.012587020077972714
2,Accuracy,0.1637088779727095,0.07016094770258978,0.2338698256752993,1.3561139000000002,0.33902847500000005,1.695142375,0.06044410753568126,0.02338698256752993
4,Performance,0.08248540077972713,0.03535088604845448,0.11783628682818162,1.35604466368,0.33901116592,1.6950558296,3.254130616636253,0.011783628682818162
4,Energy,0.09736850682261204,0.04172936006683373,0.13909786688944578,1.3559889179200002,0.33899722948000005,1.6949861474,3.722242213460958,0.013909786688944579
4,Accuracy,0.1698350391812865,0.0727864453634085,0.24262148454469504,1.3561011268800003,0.33902528172000007,1.6951264086000002,0.06865774281474894,0.024262148454469504
5,Performance,0.08257820643274857,0.03539065989974939,0.11796886633249797,1.35605000896,0.33901250224,1.6950625112,3.804232338412405,0.011796886633249798
5,Energy,0.12580926257309935,0.053918255388471156,0.17972751796157052,1.35597460296,0.33899365074,1.6949682537,3.750650663560886,0.017972751796157052
5,Accuracy,0.09582660487329432,0.04106854494569757,0.1368951498189919,1.3560629318399997,0.3390157329599999,1.6950786647999996,0.12229940724653497,0.01368951498189919
6,Performance,0.08187373528265111,0.03508874369256476,0.11696247897521587,1.35598520976,0.33899630244,1.6949815122,3.766297794443882,0.011696247897521588
6,Energy,0.10259106725146193,0.04396760025062654,0.14655866750208849,1.35597301656,0.33899325414,1.6949662706999997,3.799506486002509,0.01465586675020885
6,Accuracy,0.18328679415204668,0.07855148320802001,0.2618382773600667,1.3560553554399997,0.3390138388599999,1.6950691942999994,0.12214589026185733,0.026183827736006672
8,Performance,0.08173101910331389,0.035027579615705955,0.11675859871901985,1.35597247848,0.33899311962,1.6949655980999998,3.788599541795341,0.011675859871901985
8,Energy,0.08174351539961018,0.035032935171261506,0.1167764505708717,1.35597028056,0.33899257014,1.6949628506999999,3.788599541795341,0.01167764505708717
8,Accuracy,0.11163452105263152,0.04784336616541351,0.15947788721804504,1.3561780791999998,0.33904451979999994,1.6952225989999996,0.11470325033081057,0.015947788721804506
10,Performance,0.07995789668615988,0.034267670008354234,0.11422556669451411,1.3559880519999998,0.33899701299999996,1.6949850649999998,3.734377098110145,0.011422556669451411
10,Energy,0.08275421520467839,0.03546609223057646,0.11822030743525486,1.3559729811999999,0.33899324529999997,1.6949662264999998,3.7362594604215333,0.011822030743525487
10,Accuracy,0.10566946608187129,0.0452869140350877,0.150956380116959,1.3560927460799996,0.3390231865199999,1.6951159325999994,0.11380820258080264,0.015095638011695901
11,Performance,0.07924404600389867,0.03396173400167086,0.11320578000556954,1.3559742938400001,0.33899357346000003,1.6949678673,3.751930215768796,0.011320578000556955
11,Energy,0.08222450857699809,0.03523907510442775,0.11746358368142584,1.3559704580799998,0.33899261451999996,1.6949630725999998,3.751930215768796,0.011746358368142584
11,Accuracy,0.12491488947368412,0.05353495263157891,0.17844984210526305,1.3561016648,0.3390254162,1.6951270809999999,0.06817698712762423,0.017844984210526306
12,Performance,0.08416706549707605,0.03607159949874688,0.12023866499582293,1.3560782911999998,0.33901957279999995,1.6950978639999996,3.495555101943199,0.012023866499582293
12,Energy,0.10728265886939575,0.04597828237259818,0.15326094124199394,1.3560136776,0.3390034194,1.695017097,3.2649806539153565,0.015326094124199394
12,Accuracy,0.16752992923976606,0.07179854110275688,0.23932847034252294,1.35611748296,0.33902937074,1.6951468536999998,0.06796025267083236,0.023932847034252296
14,Performance,0.0860549742690059,0.03688070325814539,0.12293567752715129,1.3559971320799997,0.33899928301999993,1.6949964150999997,3.7969842148000605,0.01229356775271513
14,Energy,0.08839205146198834,0.03788230776942358,0.12627435923141192,1.3559960334399996,0.3389990083599999,1.6949950417999995,3.7969842148000605,0.012627435923141193
14,Accuracy,0.1041989604288499,0.04465669732664996,0.14885565775549986,1.3562006028,0.3390501507,1.6952507534999999,0.0684933435977045,0.014885565775549987
16,Performance,0.07941285224171543,0.03403407953216376,0.1134469317738792,1.3559989260799998,0.33899973151999996,1.6949986575999996,3.757007148536572,0.01134469317738792
16,Energy,0.0809100368421053,0.03467573007518799,0.1155857669172933,1.35596589528,0.33899147382,1.6949573691,3.757007148536572,0.011558576691729331
