Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.015714336547806,8.670026385294026,2,2,2.0,True
CCD,CCD2,1.0641300718100792,9.689590721911863,2,2,2.0,True
CCD,CCD3,8.748623678935505,16.49420678791009,2,2,2.0,True
CCD,CCD4,14.15732935232886,11.781878965873378,2,2,2.0,True
XCD,XCD1,4.516326003477483,11.464903153403057,2,11,8.2,True
XCD,XCD2,9.296808541822616,0.5953159856899153,2,11,8.2,True
IPD,IPD1,-0.12426204425225272,16.207043324700088,2,2,1.0,True
IPD,IPD2,1.5135907330672433,13.813082655470238,2,2,1.0,True
IPD,IPD3,3.1226917262367153,3.2324604476579912,2,2,1.0,True
IPD,IPD4,0.2485582259802041,6.197082181914727,2,2,1.0,True
IPD,IPD5,3.304273218914517,6.867080380700243,2,2,1.0,True
IPD,IPD6,17.226664559497305,16.861457601978614,2,2,1.0,True
IPD,IPD7,9.464337310808332,12.199342830984712,2,2,1.0,True
IPD,IPD8,7.5604255030758685,8.320718195860778,2,2,1.0,True
EMIB,EMIB1,5.7648504216143825,6.691967140255148,1,1,3.0,False
EMIB,EMIB2,3.7057471150183074,14.37668885160563,1,1,3.0,False
EMIB,EMIB3,8.120917730000466,11.522071710316455,1,1,3.0,False
EMIB,EMIB4,10.175507936592533,3.627877822565444,1,1,3.0,False
EMIB,EMIB5,10.848483385708791,16.997034952886285,1,1,3.0,False
EMIB,EMIB6,15.217449608683644,-0.29855312729059214,1,1,3.0,False
EMIB,EMIB7,2.455616570935378,0.642843881763665,1,1,3.0,False
EMIB,EMIB8,10.030007053468085,11.267488680443643,1,1,3.0,False
EMIB2,EMIB21,10.601636946644307,0.26778720228905756,1,4,1.0,True
EMIB2,EMIB22,11.60663007773687,16.52925234427908,1,4,1.0,True
