Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.065714336547806,8.020026385294017,2,2,2.0,True
CCD,CCD2,1.3141300718100795,9.639590721911862,2,2,2.0,True
CCD,CCD3,8.598623678935503,15.644206787910079,2,2,2.0,True
CCD,CCD4,14.15732935232886,11.381878965873373,2,2,2.0,True
XCD,XCD1,5.066326003477481,12.114903153403066,2,11,8.2,True
XCD,XCD2,9.59680854182262,0.5953159856899153,2,11,8.2,True
IPD,IPD1,0.07573795574774732,16.507043324700092,2,2,1.0,True
IPD,IPD2,1.5635907330672434,14.063082655470241,2,2,1.0,True
IPD,IPD3,3.0226917262367157,2.9324604476579923,2,2,1.0,True
IPD,IPD4,0.5485582259802041,5.897082181914728,2,2,1.0,True
IPD,IPD5,3.2042732189145173,6.5670803807002445,2,2,1.0,True
IPD,IPD6,17.276664559497306,17.111457601978618,2,2,1.0,True
IPD,IPD7,9.914337310808339,12.149342830984711,2,2,1.0,True
IPD,IPD8,7.5604255030758685,8.720718195860783,2,2,1.0,True
EMIB,EMIB1,5.564850421614383,6.691967140255148,1,1,3.0,False
EMIB,EMIB2,3.2057471150183092,14.676688851605634,1,1,3.0,False
EMIB,EMIB3,8.270917730000468,11.672071710316457,1,1,3.0,False
EMIB,EMIB4,10.125507936592532,3.677877822565444,1,1,3.0,False
EMIB,EMIB5,10.698483385708789,17.547034952886293,1,1,3.0,False
EMIB,EMIB6,15.317449608683646,-0.6985531272905923,1,1,3.0,False
EMIB,EMIB7,2.705616570935377,0.39284388176366497,1,1,3.0,False
EMIB,EMIB8,9.68000705346808,11.317488680443644,1,1,3.0,False
EMIB2,EMIB21,11.101636946644314,0.6677872022890576,1,4,1.0,True
EMIB2,EMIB22,10.85663007773686,17.37925234427909,1,4,1.0,True
