Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,10.715714336547801,8.770026385294027,2,2,2.0,True
CCD,CCD2,1.2141300718100794,9.439590721911859,2,2,2.0,True
CCD,CCD3,9.498623678935516,16.844206787910096,2,2,2.0,True
CCD,CCD4,13.907329352328857,11.531878965873375,2,2,2.0,True
XCD,XCD1,4.316326003477483,10.364903153403041,2,11,8.2,True
XCD,XCD2,8.84680854182261,0.7453159856899154,2,11,8.2,True
IPD,IPD1,-0.024262044252252715,16.007043324700085,2,2,1.0,True
IPD,IPD2,1.8635907330672437,13.363082655470231,2,2,1.0,True
IPD,IPD3,3.6726917262367134,3.58246044765799,2,2,1.0,True
IPD,IPD4,0.3485582259802041,6.2970821819147265,2,2,1.0,True
IPD,IPD5,3.054273218914518,6.717080380700244,2,2,1.0,True
IPD,IPD6,16.626664559497296,16.161457601978604,2,2,1.0,True
IPD,IPD7,9.064337310808327,12.999342830984723,2,2,1.0,True
IPD,IPD8,7.410425503075869,8.770718195860784,2,2,1.0,True
EMIB,EMIB1,5.564850421614383,6.591967140255148,1,1,3.0,False
EMIB,EMIB2,4.355747115018305,14.626688851605634,1,1,3.0,False
EMIB,EMIB3,7.9709177300004646,11.372071710316453,1,1,3.0,False
EMIB,EMIB4,9.92550793659253,3.4778778225654445,1,1,3.0,False
EMIB,EMIB5,11.4984833857088,16.447034952886277,1,1,3.0,False
EMIB,EMIB6,15.417449608683647,-0.09855312729059214,1,1,3.0,False
EMIB,EMIB7,3.5056165709353744,0.8928438817636652,1,1,3.0,False
EMIB,EMIB8,9.780007053468081,11.317488680443644,1,1,3.0,False
EMIB2,EMIB21,10.1016369466443,0.7677872022890577,1,4,1.0,True
EMIB2,EMIB22,11.306630077736866,15.329252344279064,1,4,1.0,True
