Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,10.915714336547804,8.670026385294026,2,2,2.0,True
CCD,CCD2,1.0641300718100792,9.189590721911856,2,2,2.0,True
CCD,CCD3,9.298623678935513,15.844206787910082,2,2,2.0,True
CCD,CCD4,14.257329352328862,11.281878965873371,2,2,2.0,True
XCD,XCD1,4.866326003477481,11.514903153403058,2,11,8.2,True
XCD,XCD2,10.34680854182263,0.14531598568991533,2,11,8.2,True
IPD,IPD1,-0.47426204425225266,16.25704332470009,2,2,1.0,True
IPD,IPD2,1.5635907330672434,13.96308265547024,2,2,1.0,True
IPD,IPD3,2.872691726236716,2.982460447657992,2,2,1.0,True
IPD,IPD4,0.7985582259802043,5.847082181914728,2,2,1.0,True
IPD,IPD5,2.8542732189145186,6.717080380700244,2,2,1.0,True
IPD,IPD6,17.126664559497303,17.061457601978617,2,2,1.0,True
IPD,IPD7,9.764337310808337,11.999342830984709,2,2,1.0,True
IPD,IPD8,7.810425503075868,8.970718195860787,2,2,1.0,True
EMIB,EMIB1,5.7648504216143825,6.19196714025515,1,1,3.0,False
EMIB,EMIB2,3.0557471150183098,14.826688851605637,1,1,3.0,False
EMIB,EMIB3,8.820917730000476,11.722071710316458,1,1,3.0,False
EMIB,EMIB4,10.525507936592538,3.4778778225654445,1,1,3.0,False
EMIB,EMIB5,10.548483385708787,17.897034952886298,1,1,3.0,False
EMIB,EMIB6,15.517449608683648,-0.2985531272905922,1,1,3.0,False
EMIB,EMIB7,2.8556165709353767,0.14284388176366503,1,1,3.0,False
EMIB,EMIB8,10.080007053468085,11.617488680443648,1,1,3.0,False
EMIB2,EMIB21,10.85163694664431,0.9177872022890579,1,4,1.0,True
EMIB2,EMIB22,11.006630077736862,17.429252344279092,1,4,1.0,True
