Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.115714336547807,8.870026385294029,2,2,2.0,True
CCD,CCD2,1.0141300718100792,8.83959072191185,2,2,2.0,True
CCD,CCD3,9.09862367893551,15.944206787910083,2,2,2.0,True
CCD,CCD4,14.357329352328863,11.381878965873373,2,2,2.0,True
XCD,XCD1,4.466326003477483,11.61490315340306,2,11,8.2,True
XCD,XCD2,10.24680854182263,0.5453159856899152,2,11,8.2,True
IPD,IPD1,-0.5742620442522527,16.25704332470009,2,2,1.0,True
IPD,IPD2,1.5635907330672434,13.96308265547024,2,2,1.0,True
IPD,IPD3,2.972691726236716,3.0824604476579918,2,2,1.0,True
IPD,IPD4,0.5985582259802041,5.647082181914729,2,2,1.0,True
IPD,IPD5,2.754273218914519,6.217080380700246,2,2,1.0,True
IPD,IPD6,17.126664559497303,16.961457601978616,2,2,1.0,True
IPD,IPD7,9.064337310808327,11.999342830984709,2,2,1.0,True
IPD,IPD8,7.910425503075867,9.070718195860788,2,2,1.0,True
EMIB,EMIB1,6.36485042161438,6.591967140255148,1,1,3.0,False
EMIB,EMIB2,2.8557471150183105,14.826688851605637,1,1,3.0,False
EMIB,EMIB3,8.42091773000047,11.92207171031646,1,1,3.0,False
EMIB,EMIB4,10.62550793659254,3.4778778225654445,1,1,3.0,False
EMIB,EMIB5,10.248483385708782,17.897034952886298,1,1,3.0,False
EMIB,EMIB6,15.717449608683651,-0.1985531272905922,1,1,3.0,False
EMIB,EMIB7,2.9556165709353763,0.04284388176366502,1,1,3.0,False
EMIB,EMIB8,10.38000705346809,11.917488680443652,1,1,3.0,False
EMIB2,EMIB21,10.85163694664431,1.017787202289058,1,4,1.0,True
EMIB2,EMIB22,11.106630077736863,17.129252344279088,1,4,1.0,True
