Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,10.165714336547794,9.62002638529404,2,2,2.0,True
CCD,CCD2,0.6641300718100789,9.389590721911858,2,2,2.0,True
CCD,CCD3,8.798623678935506,16.044206787910085,2,2,2.0,True
CCD,CCD4,14.10732935232886,11.631878965873376,2,2,2.0,True
XCD,XCD1,4.216326003477484,10.764903153403047,2,11,8.2,True
XCD,XCD2,10.546808541822633,1.545315985689916,2,11,8.2,True
IPD,IPD1,-0.7742620442522529,16.25704332470009,2,2,1.0,True
IPD,IPD2,2.163590733067243,13.663082655470236,2,2,1.0,True
IPD,IPD3,2.872691726236716,3.1824604476579914,2,2,1.0,True
IPD,IPD4,0.7485582259802043,5.697082181914729,2,2,1.0,True
IPD,IPD5,2.40427321891452,5.367080380700249,2,2,1.0,True
IPD,IPD6,17.376664559497307,16.911457601978615,2,2,1.0,True
IPD,IPD7,8.214337310808315,12.149342830984711,2,2,1.0,True
IPD,IPD8,8.460425503075873,9.020718195860788,2,2,1.0,True
EMIB,EMIB1,6.314850421614381,6.04196714025515,1,1,3.0,False
EMIB,EMIB2,2.405747115018312,14.976688851605639,1,1,3.0,False
EMIB,EMIB3,7.770917730000465,11.472071710316454,1,1,3.0,False
EMIB,EMIB4,10.02550793659253,2.6778778225654474,1,1,3.0,False
EMIB,EMIB5,10.698483385708789,17.44703495288629,1,1,3.0,False
EMIB,EMIB6,15.717449608683651,0.6014468727094079,1,1,3.0,False
EMIB,EMIB7,2.705616570935377,-0.40715611823633496,1,1,3.0,False
EMIB,EMIB8,11.930007053468112,11.667488680443649,1,1,3.0,False
EMIB2,EMIB21,10.901636946644311,-0.13221279771094246,1,4,1.0,True
EMIB2,EMIB22,11.206630077736865,17.9292523442791,1,4,1.0,True
