Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.115714336547807,8.570026385294025,2,2,2.0,True
CCD,CCD2,1.1641300718100793,9.589590721911861,2,2,2.0,True
CCD,CCD3,9.148623678935511,16.49420678791009,2,2,2.0,True
CCD,CCD4,14.257329352328862,11.581878965873376,2,2,2.0,True
XCD,XCD1,4.216326003477484,10.96490315340305,2,11,8.2,True
XCD,XCD2,9.346808541822616,0.5453159856899152,2,11,8.2,True
IPD,IPD1,-0.12426204425225272,15.807043324700082,2,2,1.0,True
IPD,IPD2,1.7135907330672435,13.91308265547024,2,2,1.0,True
IPD,IPD3,3.5726917262367137,3.6824604476579896,2,2,1.0,True
IPD,IPD4,0.19855822598020412,6.247082181914727,2,2,1.0,True
IPD,IPD5,3.2042732189145173,6.667080380700244,2,2,1.0,True
IPD,IPD6,16.676664559497297,16.411457601978608,2,2,1.0,True
IPD,IPD7,8.714337310808322,12.949342830984722,2,2,1.0,True
IPD,IPD8,7.5604255030758685,8.820718195860785,2,2,1.0,True
EMIB,EMIB1,5.964850421614382,6.691967140255148,1,1,3.0,False
EMIB,EMIB2,4.155747115018306,14.726688851605635,1,1,3.0,False
EMIB,EMIB3,7.9709177300004646,10.972071710316447,1,1,3.0,False
EMIB,EMIB4,9.875507936592529,3.7278778225654436,1,1,3.0,False
EMIB,EMIB5,11.148483385708795,16.69703495288628,1,1,3.0,False
EMIB,EMIB6,15.417449608683647,-0.09855312729059214,1,1,3.0,False
EMIB,EMIB7,2.9556165709353763,0.9428438817636653,1,1,3.0,False
EMIB,EMIB8,10.130007053468086,11.567488680443647,1,1,3.0,False
EMIB2,EMIB21,10.401636946644304,0.6677872022890576,1,4,1.0,True
EMIB2,EMIB22,11.206630077736865,15.72925234427907,1,4,1.0,True
