Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,10.815714336547803,8.570026385294025,2,2,2.0,True
CCD,CCD2,1.0141300718100792,9.639590721911862,2,2,2.0,True
CCD,CCD3,9.298623678935513,16.844206787910096,2,2,2.0,True
CCD,CCD4,13.907329352328857,11.531878965873375,2,2,2.0,True
XCD,XCD1,4.516326003477483,10.764903153403047,2,11,8.2,True
XCD,XCD2,9.046808541822612,0.7453159856899154,2,11,8.2,True
IPD,IPD1,-0.024262044252252715,15.907043324700084,2,2,1.0,True
IPD,IPD2,1.8635907330672437,13.463082655470233,2,2,1.0,True
IPD,IPD3,3.5726917262367137,3.6824604476579896,2,2,1.0,True
IPD,IPD4,0.3485582259802041,6.2970821819147265,2,2,1.0,True
IPD,IPD5,2.954273218914518,6.717080380700244,2,2,1.0,True
IPD,IPD6,16.626664559497296,16.261457601978606,2,2,1.0,True
IPD,IPD7,8.714337310808322,12.849342830984721,2,2,1.0,True
IPD,IPD8,7.610425503075868,8.770718195860784,2,2,1.0,True
EMIB,EMIB1,5.564850421614383,6.791967140255148,1,1,3.0,False
EMIB,EMIB2,4.355747115018305,14.626688851605634,1,1,3.0,False
EMIB,EMIB3,7.870917730000465,11.372071710316453,1,1,3.0,False
EMIB,EMIB4,9.92550793659253,3.4778778225654445,1,1,3.0,False
EMIB,EMIB5,11.4984833857088,16.54703495288628,1,1,3.0,False
EMIB,EMIB6,15.417449608683647,-0.09855312729059214,1,1,3.0,False
EMIB,EMIB7,3.605616570935374,0.8928438817636652,1,1,3.0,False
EMIB,EMIB8,9.530007053468077,11.267488680443643,1,1,3.0,False
EMIB2,EMIB21,10.1016369466443,0.7677872022890577,1,4,1.0,True
EMIB2,EMIB22,11.256630077736865,15.67925234427907,1,4,1.0,True
