Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.31571433654781,8.770026385294027,2,2,2.0,True
CCD,CCD2,0.9141300718100791,9.639590721911862,2,2,2.0,True
CCD,CCD3,8.898623678935508,16.144206787910086,2,2,2.0,True
CCD,CCD4,14.15732935232886,11.88187896587338,2,2,2.0,True
XCD,XCD1,4.216326003477484,11.364903153403056,2,11,8.2,True
XCD,XCD2,9.246808541822615,0.2453159856899153,2,11,8.2,True
IPD,IPD1,-0.17426204425225272,16.25704332470009,2,2,1.0,True
IPD,IPD2,1.6135907330672434,13.91308265547024,2,2,1.0,True
IPD,IPD3,3.222691726236715,3.4324604476579905,2,2,1.0,True
IPD,IPD4,0.2485582259802041,6.197082181914727,2,2,1.0,True
IPD,IPD5,3.254273218914517,6.717080380700244,2,2,1.0,True
IPD,IPD6,16.9766645594973,16.711457601978612,2,2,1.0,True
IPD,IPD7,9.214337310808329,12.349342830984714,2,2,1.0,True
IPD,IPD8,7.310425503075869,8.370718195860778,2,2,1.0,True
EMIB,EMIB1,5.7648504216143825,6.591967140255148,1,1,3.0,False
EMIB,EMIB2,3.7557471150183073,14.626688851605634,1,1,3.0,False
EMIB,EMIB3,8.120917730000466,11.322071710316452,1,1,3.0,False
EMIB,EMIB4,9.97550793659253,3.7278778225654436,1,1,3.0,False
EMIB,EMIB5,10.79848338570879,16.74703495288628,1,1,3.0,False
EMIB,EMIB6,15.417449608683647,-0.29855312729059214,1,1,3.0,False
EMIB,EMIB7,2.6556165709353774,0.9428438817636653,1,1,3.0,False
EMIB,EMIB8,9.780007053468081,11.517488680443646,1,1,3.0,False
EMIB2,EMIB21,10.80163694664431,0.5677872022890575,1,4,1.0,True
EMIB2,EMIB22,11.856630077736874,16.57925234427908,1,4,1.0,True
