Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.115714336547807,8.27002638529402,2,2,2.0,True
CCD,CCD2,1.0141300718100792,9.53959072191186,2,2,2.0,True
CCD,CCD3,8.3986236789355,16.044206787910085,2,2,2.0,True
CCD,CCD4,14.15732935232886,11.581878965873376,2,2,2.0,True
XCD,XCD1,5.21632600347748,11.864903153403063,2,11,8.2,True
XCD,XCD2,10.046808541822626,0.2453159856899153,2,11,8.2,True
IPD,IPD1,0.07573795574774729,16.207043324700088,2,2,1.0,True
IPD,IPD2,1.3635907330672432,13.863082655470238,2,2,1.0,True
IPD,IPD3,3.0226917262367157,3.2324604476579912,2,2,1.0,True
IPD,IPD4,0.3485582259802041,6.097082181914727,2,2,1.0,True
IPD,IPD5,3.1542732189145175,6.717080380700244,2,2,1.0,True
IPD,IPD6,17.47666455949731,17.011457601978616,2,2,1.0,True
IPD,IPD7,9.464337310808332,11.799342830984706,2,2,1.0,True
IPD,IPD8,7.660425503075868,8.620718195860782,2,2,1.0,True
EMIB,EMIB1,5.864850421614382,6.391967140255149,1,1,3.0,False
EMIB,EMIB2,3.1057471150183096,14.776688851605636,1,1,3.0,False
EMIB,EMIB3,8.120917730000466,11.522071710316455,1,1,3.0,False
EMIB,EMIB4,9.97550793659253,3.7278778225654436,1,1,3.0,False
EMIB,EMIB5,10.79848338570879,17.34703495288629,1,1,3.0,False
EMIB,EMIB6,15.217449608683644,-0.5985531272905922,1,1,3.0,False
EMIB,EMIB7,2.705616570935377,0.7928438817636652,1,1,3.0,False
EMIB,EMIB8,10.030007053468085,11.367488680443644,1,1,3.0,False
EMIB2,EMIB21,10.80163694664431,0.6677872022890576,1,4,1.0,True
EMIB2,EMIB22,11.356630077736867,16.879252344279084,1,4,1.0,True
