Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.36571433654781,8.820026385294028,2,2,2.0,True
CCD,CCD2,0.9641300718100791,9.689590721911863,2,2,2.0,True
CCD,CCD3,8.848623678935507,16.29420678791009,2,2,2.0,True
CCD,CCD4,14.20732935232886,11.83187896587338,2,2,2.0,True
XCD,XCD1,4.116326003477484,11.464903153403057,2,11,8.2,True
XCD,XCD2,9.296808541822616,-0.00468401431008468,2,11,8.2,True
IPD,IPD1,-0.2242620442522527,16.107043324700086,2,2,1.0,True
IPD,IPD2,1.5635907330672434,13.96308265547024,2,2,1.0,True
IPD,IPD3,3.222691726236715,3.332460447657991,2,2,1.0,True
IPD,IPD4,0.2485582259802041,6.197082181914727,2,2,1.0,True
IPD,IPD5,3.4042732189145166,6.767080380700244,2,2,1.0,True
IPD,IPD6,17.026664559497302,16.761457601978613,2,2,1.0,True
IPD,IPD7,9.214337310808329,12.249342830984713,2,2,1.0,True
IPD,IPD8,7.460425503075869,8.220718195860776,2,2,1.0,True
EMIB,EMIB1,5.7648504216143825,6.491967140255149,1,1,3.0,False
EMIB,EMIB2,3.7557471150183073,14.726688851605635,1,1,3.0,False
EMIB,EMIB3,8.120917730000466,11.422071710316454,1,1,3.0,False
EMIB,EMIB4,9.97550793659253,3.627877822565444,1,1,3.0,False
EMIB,EMIB5,10.74848338570879,16.797034952886282,1,1,3.0,False
EMIB,EMIB6,15.417449608683647,-0.19855312729059216,1,1,3.0,False
EMIB,EMIB7,2.6056165709353776,0.8928438817636652,1,1,3.0,False
EMIB,EMIB8,9.930007053468083,11.467488680443646,1,1,3.0,False
EMIB2,EMIB21,10.901636946644311,0.4677872022890575,1,4,1.0,True
EMIB2,EMIB22,11.856630077736874,16.57925234427908,1,4,1.0,True
