Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.065714336547806,8.720026385294027,2,2,2.0,True
CCD,CCD2,1.0141300718100792,8.939590721911852,2,2,2.0,True
CCD,CCD3,9.09862367893551,15.944206787910083,2,2,2.0,True
CCD,CCD4,14.357329352328863,11.281878965873371,2,2,2.0,True
XCD,XCD1,4.466326003477483,11.114903153403052,2,11,8.2,True
XCD,XCD2,10.34680854182263,0.8453159856899155,2,11,8.2,True
IPD,IPD1,-0.5742620442522527,16.35704332470009,2,2,1.0,True
IPD,IPD2,1.5635907330672434,13.96308265547024,2,2,1.0,True
IPD,IPD3,2.872691726236716,3.0824604476579918,2,2,1.0,True
IPD,IPD4,0.6985582259802042,5.747082181914728,2,2,1.0,True
IPD,IPD5,2.8542732189145186,6.117080380700246,2,2,1.0,True
IPD,IPD6,17.226664559497305,17.061457601978617,2,2,1.0,True
IPD,IPD7,9.214337310808329,12.04934283098471,2,2,1.0,True
IPD,IPD8,7.910425503075867,9.370718195860793,2,2,1.0,True
EMIB,EMIB1,6.36485042161438,6.791967140255148,1,1,3.0,False
EMIB,EMIB2,2.755747115018311,14.726688851605635,1,1,3.0,False
EMIB,EMIB3,8.570917730000472,11.472071710316454,1,1,3.0,False
EMIB,EMIB4,10.62550793659254,3.377877822565445,1,1,3.0,False
EMIB,EMIB5,10.248483385708782,17.797034952886296,1,1,3.0,False
EMIB,EMIB6,15.717449608683651,0.0014468727094077843,1,1,3.0,False
EMIB,EMIB7,2.9556165709353763,-0.057156118236334985,1,1,3.0,False
EMIB,EMIB8,10.38000705346809,11.81748868044365,1,1,3.0,False
EMIB2,EMIB21,10.951636946644312,0.9177872022890579,1,4,1.0,True
EMIB2,EMIB22,11.206630077736865,16.929252344279085,1,4,1.0,True
