Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.415714336547811,8.570026385294025,2,2,2.0,True
CCD,CCD2,1.0141300718100792,9.639590721911862,2,2,2.0,True
CCD,CCD3,8.998623678935509,16.044206787910085,2,2,2.0,True
CCD,CCD4,13.957329352328857,11.781878965873378,2,2,2.0,True
XCD,XCD1,4.216326003477484,11.364903153403056,2,11,8.2,True
XCD,XCD2,8.796808541822609,0.49531598568991525,2,11,8.2,True
IPD,IPD1,-0.12426204425225272,16.207043324700088,2,2,1.0,True
IPD,IPD2,1.4635907330672433,13.763082655470237,2,2,1.0,True
IPD,IPD3,3.222691726236715,3.53246044765799,2,2,1.0,True
IPD,IPD4,0.2485582259802041,6.197082181914727,2,2,1.0,True
IPD,IPD5,3.4542732189145164,6.617080380700244,2,2,1.0,True
IPD,IPD6,16.8766645594973,16.711457601978612,2,2,1.0,True
IPD,IPD7,9.414337310808332,12.349342830984714,2,2,1.0,True
IPD,IPD8,7.11042550307587,8.47071819586078,2,2,1.0,True
EMIB,EMIB1,5.7648504216143825,6.491967140255149,1,1,3.0,False
EMIB,EMIB2,3.855747115018307,14.626688851605634,1,1,3.0,False
EMIB,EMIB3,8.220917730000467,11.22207171031645,1,1,3.0,False
EMIB,EMIB4,10.075507936592532,3.7278778225654436,1,1,3.0,False
EMIB,EMIB5,10.79848338570879,16.74703495288628,1,1,3.0,False
EMIB,EMIB6,15.317449608683646,-0.09855312729059217,1,1,3.0,False
EMIB,EMIB7,2.755616570935377,0.8428438817636652,1,1,3.0,False
EMIB,EMIB8,9.780007053468081,11.517488680443646,1,1,3.0,False
EMIB2,EMIB21,10.901636946644311,0.5677872022890575,1,4,1.0,True
EMIB2,EMIB22,11.856630077736874,16.47925234427908,1,4,1.0,True
