Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.36571433654781,8.620026385294025,2,2,2.0,True
CCD,CCD2,1.0141300718100792,9.53959072191186,2,2,2.0,True
CCD,CCD3,8.998623678935509,16.544206787910092,2,2,2.0,True
CCD,CCD4,14.20732935232886,11.531878965873375,2,2,2.0,True
XCD,XCD1,3.9163260034774847,10.96490315340305,2,11,8.2,True
XCD,XCD2,9.296808541822616,0.2953159856899153,2,11,8.2,True
IPD,IPD1,-0.12426204425225272,15.60704332470008,2,2,1.0,True
IPD,IPD2,1.6635907330672435,13.863082655470238,2,2,1.0,True
IPD,IPD3,3.5726917262367137,3.3824604476579907,2,2,1.0,True
IPD,IPD4,0.2485582259802041,6.197082181914727,2,2,1.0,True
IPD,IPD5,3.354273218914517,6.417080380700245,2,2,1.0,True
IPD,IPD6,16.626664559497296,16.56145760197861,2,2,1.0,True
IPD,IPD7,8.814337310808323,12.549342830984717,2,2,1.0,True
IPD,IPD8,7.660425503075868,8.720718195860783,2,2,1.0,True
EMIB,EMIB1,6.0648504216143815,6.691967140255148,1,1,3.0,False
EMIB,EMIB2,3.9057471150183067,14.876688851605637,1,1,3.0,False
EMIB,EMIB3,7.920917730000465,10.922071710316446,1,1,3.0,False
EMIB,EMIB4,9.875507936592529,3.5278778225654444,1,1,3.0,False
EMIB,EMIB5,11.298483385708797,16.54703495288628,1,1,3.0,False
EMIB,EMIB6,15.317449608683646,0.0014468727094078676,1,1,3.0,False
EMIB,EMIB7,2.9056165709353765,0.9928438817636653,1,1,3.0,False
EMIB,EMIB8,10.030007053468085,11.567488680443647,1,1,3.0,False
EMIB2,EMIB21,10.651636946644308,0.9177872022890579,1,4,1.0,True
EMIB2,EMIB22,11.406630077736867,16.429252344279078,1,4,1.0,True
