Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.165714336547808,8.420026385294022,2,2,2.0,True
CCD,CCD2,0.9641300718100791,8.989590721911853,2,2,2.0,True
CCD,CCD3,9.298623678935513,15.74420678791008,2,2,2.0,True
CCD,CCD4,14.257329352328862,11.381878965873373,2,2,2.0,True
XCD,XCD1,4.2663260034774835,10.714903153403046,2,11,8.2,True
XCD,XCD2,9.996808541822626,1.495315985689916,2,11,8.2,True
IPD,IPD1,-0.5742620442522527,16.45704332470009,2,2,1.0,True
IPD,IPD2,1.6635907330672435,13.863082655470238,2,2,1.0,True
IPD,IPD3,3.1226917262367153,3.032460447657992,2,2,1.0,True
IPD,IPD4,0.6485582259802042,5.797082181914728,2,2,1.0,True
IPD,IPD5,3.054273218914518,6.117080380700246,2,2,1.0,True
IPD,IPD6,17.076664559497303,17.011457601978616,2,2,1.0,True
IPD,IPD7,8.714337310808322,11.949342830984708,2,2,1.0,True
IPD,IPD8,7.5604255030758685,9.520718195860795,2,2,1.0,True
EMIB,EMIB1,5.964850421614382,6.691967140255148,1,1,3.0,False
EMIB,EMIB2,2.705747115018311,14.976688851605639,1,1,3.0,False
EMIB,EMIB3,8.47091773000047,10.972071710316447,1,1,3.0,False
EMIB,EMIB4,10.525507936592538,3.577877822565444,1,1,3.0,False
EMIB,EMIB5,10.298483385708783,17.547034952886293,1,1,3.0,False
EMIB,EMIB6,15.517449608683648,0.2014468727094078,1,1,3.0,False
EMIB,EMIB7,3.105616570935376,-0.10715611823633499,1,1,3.0,False
EMIB,EMIB8,10.730007053468094,12.067488680443654,1,1,3.0,False
EMIB2,EMIB21,11.101636946644314,0.8677872022890578,1,4,1.0,True
EMIB2,EMIB22,10.85663007773686,16.879252344279084,1,4,1.0,True
