Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,9.96571433654779,9.520026385294038,2,2,2.0,True
CCD,CCD2,0.764130071810079,9.389590721911858,2,2,2.0,True
CCD,CCD3,8.898623678935508,16.044206787910085,2,2,2.0,True
CCD,CCD4,14.307329352328862,11.531878965873375,2,2,2.0,True
XCD,XCD1,4.2663260034774835,10.91490315340305,2,11,8.2,True
XCD,XCD2,10.746808541822636,1.9453159856899165,2,11,8.2,True
IPD,IPD1,-0.6742620442522528,16.25704332470009,2,2,1.0,True
IPD,IPD2,2.0635907330672434,13.563082655470234,2,2,1.0,True
IPD,IPD3,2.672691726236717,3.0824604476579918,2,2,1.0,True
IPD,IPD4,0.6485582259802042,5.797082181914728,2,2,1.0,True
IPD,IPD5,2.3042732189145205,5.467080380700248,2,2,1.0,True
IPD,IPD6,17.376664559497307,16.911457601978615,2,2,1.0,True
IPD,IPD7,8.514337310808319,12.04934283098471,2,2,1.0,True
IPD,IPD8,8.21042550307587,9.070718195860788,2,2,1.0,True
EMIB,EMIB1,6.41485042161438,6.04196714025515,1,1,3.0,False
EMIB,EMIB2,2.3057471150183124,15.07668885160564,1,1,3.0,False
EMIB,EMIB3,7.820917730000465,11.422071710316454,1,1,3.0,False
EMIB,EMIB4,10.125507936592532,2.3778778225654484,1,1,3.0,False
EMIB,EMIB5,10.79848338570879,17.547034952886293,1,1,3.0,False
EMIB,EMIB6,15.61744960868365,0.5014468727094078,1,1,3.0,False
EMIB,EMIB7,2.705616570935377,-0.307156118236335,1,1,3.0,False
EMIB,EMIB8,12.130007053468114,11.76748868044365,1,1,3.0,False
EMIB2,EMIB21,11.001636946644313,-0.03221279771094243,1,4,1.0,True
EMIB2,EMIB22,11.206630077736865,17.729252344279097,1,4,1.0,True
