Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,10.815714336547803,8.770026385294027,2,2,2.0,True
CCD,CCD2,1.1141300718100793,9.53959072191186,2,2,2.0,True
CCD,CCD3,9.448623678935515,16.894206787910097,2,2,2.0,True
CCD,CCD4,13.957329352328857,11.581878965873376,2,2,2.0,True
XCD,XCD1,4.416326003477483,10.364903153403041,2,11,8.2,True
XCD,XCD2,8.796808541822609,0.6953159856899154,2,11,8.2,True
IPD,IPD1,-0.07426204425225272,15.957043324700086,2,2,1.0,True
IPD,IPD2,1.8135907330672436,13.21308265547023,2,2,1.0,True
IPD,IPD3,3.5726917262367137,3.4824604476579903,2,2,1.0,True
IPD,IPD4,0.3985582259802041,6.247082181914727,2,2,1.0,True
IPD,IPD5,3.054273218914518,6.817080380700244,2,2,1.0,True
IPD,IPD6,16.576664559497296,16.211457601978605,2,2,1.0,True
IPD,IPD7,9.214337310808329,12.949342830984722,2,2,1.0,True
IPD,IPD8,7.410425503075869,8.770718195860784,2,2,1.0,True
EMIB,EMIB1,5.564850421614383,6.491967140255149,1,1,3.0,False
EMIB,EMIB2,4.355747115018305,14.726688851605635,1,1,3.0,False
EMIB,EMIB3,7.9709177300004646,11.372071710316453,1,1,3.0,False
EMIB,EMIB4,9.775507936592527,3.5278778225654444,1,1,3.0,False
EMIB,EMIB5,11.4484833857088,16.497034952886278,1,1,3.0,False
EMIB,EMIB6,15.417449608683647,0.0014468727094078676,1,1,3.0,False
EMIB,EMIB7,3.5056165709353744,0.9928438817636653,1,1,3.0,False
EMIB,EMIB8,9.68000705346808,11.217488680443642,1,1,3.0,False
EMIB2,EMIB21,9.951636946644298,0.7177872022890577,1,4,1.0,True
EMIB2,EMIB22,11.406630077736867,15.329252344279064,1,4,1.0,True
