Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.115714336547807,7.970026385294017,2,2,2.0,True
CCD,CCD2,1.1641300718100793,9.689590721911863,2,2,2.0,True
CCD,CCD3,8.598623678935503,15.844206787910082,2,2,2.0,True
CCD,CCD4,14.257329352328862,11.381878965873373,2,2,2.0,True
XCD,XCD1,4.616326003477482,12.36490315340307,2,11,8.2,True
XCD,XCD2,9.996808541822626,0.49531598568991525,2,11,8.2,True
IPD,IPD1,0.12573795574774732,16.35704332470009,2,2,1.0,True
IPD,IPD2,1.3135907330672432,14.01308265547024,2,2,1.0,True
IPD,IPD3,3.172691726236715,2.8824604476579925,2,2,1.0,True
IPD,IPD4,0.49855822598020405,6.047082181914727,2,2,1.0,True
IPD,IPD5,3.1042732189145177,6.5670803807002445,2,2,1.0,True
IPD,IPD6,17.326664559497306,17.16145760197862,2,2,1.0,True
IPD,IPD7,9.614337310808335,11.949342830984708,2,2,1.0,True
IPD,IPD8,7.610425503075868,8.47071819586078,2,2,1.0,True
EMIB,EMIB1,5.564850421614383,6.691967140255148,1,1,3.0,False
EMIB,EMIB2,3.255747115018309,14.826688851605637,1,1,3.0,False
EMIB,EMIB3,8.220917730000467,11.82207171031646,1,1,3.0,False
EMIB,EMIB4,10.175507936592533,3.7278778225654436,1,1,3.0,False
EMIB,EMIB5,10.74848338570879,17.697034952886295,1,1,3.0,False
EMIB,EMIB6,15.317449608683646,-0.5985531272905922,1,1,3.0,False
EMIB,EMIB7,2.755616570935377,0.5428438817636649,1,1,3.0,False
EMIB,EMIB8,9.73000705346808,11.467488680443646,1,1,3.0,False
EMIB2,EMIB21,11.201636946644316,0.7677872022890577,1,4,1.0,True
EMIB2,EMIB22,11.006630077736862,17.22925234427909,1,4,1.0,True
