Chiplet_Type,Chiplet_Name,X_Position,Y_Position,Z_Position,Length,Breadth,Rotated
CCD,CCD1,11.26571433654781,8.320026385294021,2,2,2.0,True
CCD,CCD2,1.0141300718100792,9.639590721911862,2,2,2.0,True
CCD,CCD3,8.598623678935503,16.244206787910088,2,2,2.0,True
CCD,CCD4,14.257329352328862,11.681878965873377,2,2,2.0,True
XCD,XCD1,5.31632600347748,11.564903153403058,2,11,8.2,True
XCD,XCD2,10.24680854182263,0.3453159856899153,2,11,8.2,True
IPD,IPD1,0.07573795574774729,16.40704332470009,2,2,1.0,True
IPD,IPD2,1.2635907330672431,13.96308265547024,2,2,1.0,True
IPD,IPD3,3.0226917262367157,3.332460447657991,2,2,1.0,True
IPD,IPD4,0.2485582259802041,6.197082181914727,2,2,1.0,True
IPD,IPD5,3.1542732189145175,6.917080380700243,2,2,1.0,True
IPD,IPD6,17.47666455949731,17.011457601978616,2,2,1.0,True
IPD,IPD7,9.664337310808335,11.899342830984708,2,2,1.0,True
IPD,IPD8,7.710425503075868,8.570718195860781,2,2,1.0,True
EMIB,EMIB1,5.7648504216143825,6.391967140255149,1,1,3.0,False
EMIB,EMIB2,3.305747115018309,14.676688851605634,1,1,3.0,False
EMIB,EMIB3,8.320917730000469,11.422071710316454,1,1,3.0,False
EMIB,EMIB4,10.075507936592532,3.7278778225654436,1,1,3.0,False
EMIB,EMIB5,10.698483385708789,17.24703495288629,1,1,3.0,False
EMIB,EMIB6,15.217449608683644,-0.3985531272905921,1,1,3.0,False
EMIB,EMIB7,2.6056165709353776,0.6928438817636651,1,1,3.0,False
EMIB,EMIB8,9.980007053468084,11.317488680443644,1,1,3.0,False
EMIB2,EMIB21,10.701636946644308,0.6677872022890576,1,4,1.0,True
EMIB2,EMIB22,11.55663007773687,16.879252344279084,1,4,1.0,True
